Mag,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,Cat,Depthneg
3,-112.6163,38.2485,0.3,2009,10,15,22,20,9.1,0,-0.3
1.19,-112.3698,38.6682,0.3,2009,11,11,4,17,8.34,0,-0.3
1.72,-112.6895,38.5907,0.3,2010,3,4,0,2,53.67,0,-0.3
2.19,-111.8497,39.4528,0.3,2010,6,9,21,0,42.02,0,-0.3
1.24,-112.4588,37.9617,0.4,2000,1,7,2,12,38.94,0,-0.4
0.95,-112.439,38.7235,0.4,2000,3,24,0,51,38.37,0,-0.4
1.41,-112.4365,38.7127,0.4,2000,3,24,1,57,40.94,0,-0.4
2.35,-112.921,37.1008,0.4,2000,10,2,2,33,51.86,0,-0.4
1.93,-112.5433,38.7068,0.4,2001,2,25,0,19,53.88,0,-0.4
1.87,-112.542,38.6903,0.4,2001,2,28,8,54,22.22,0,-0.4
2.18,-112.5022,38.722,0.4,2001,5,20,1,47,33.44,0,-0.4
3.29,-111.1932,42.453,0.4,2001,8,31,12,14,51.89,0,-0.4
1.49,-112.3537,38.128,0.4,2002,1,15,10,23,10.74,0,-0.4
1.48,-113.2967,37.2977,0.4,2002,4,1,12,31,16.86,0,-0.4
1.65,-113.0295,37.7307,0.4,2002,6,17,4,50,37.99,0,-0.4
2.31,-111.944,37.9537,0.4,2002,7,22,22,14,34.63,0,-0.4
1.86,-111.4688,38.8335,0.4,2002,11,8,9,39,51.71,0,-0.4
2.22,-112.8967,37.899,0.4,2002,11,14,8,50,55.82,0,-0.4
1.92,-112.6107,38.2337,0.4,2002,12,31,21,8,20.62,0,-0.4
0.61,-111.3583,40.6302,0.4,2003,4,7,23,38,41.63,0,-0.4
2.04,-111.896,39.515,0.4,2003,4,17,1,42,18.71,0,-0.4
1.89,-111.9083,39.4978,0.4,2003,8,15,21,42,12.84,0,-0.4
2.28,-110.7488,41.637,0.4,2003,9,4,18,51,35.82,0,-0.4
2.86,-112.6665,38.192,0.4,2003,11,7,14,30,54.34,0,-0.4
2.87,-111.6033,38.777,0.4,2004,2,12,3,17,53.4,0,-0.4
2.4,-112.3667,41.8997,0.4,2004,3,7,0,12,7.95,0,-0.4
1.56,-112.6078,38.6282,0.4,2004,3,16,1,46,14.24,0,-0.4
2.08,-113.1205,37.7647,0.4,2004,12,19,13,11,35.01,0,-0.4
1.7,-112.3818,37.7487,0.4,2004,12,21,5,56,30.78,0,-0.4
1.59,-112.5545,37.5202,0.4,2005,6,28,7,29,12.55,0,-0.4
1.05,-112.6992,38.5198,0.4,2005,7,22,21,31,30.07,0,-0.4
0.31,-111.4015,40.62,0.4,2005,8,10,22,30,32.82,0,-0.4
2.8,-112.3237,37.5332,0.4,2005,9,20,8,29,34.27,0,-0.4
1.76,-112.6698,38.2495,0.4,2005,11,11,22,25,13.47,0,-0.4
3.23,-111.4912,39.4853,0.4,2005,11,14,20,35,18.03,0,-0.4
1.62,-112.439,41.5165,0.4,2005,12,10,14,48,35.09,0,-0.4
0.69,-111.5502,40.3952,0.4,2006,3,28,1,6,6.33,0,-0.4
0.48,-111.3818,40.6272,0.4,2006,4,26,20,49,1.86,0,-0.4
2.01,-112.5922,38.3288,0.4,2006,5,13,4,24,32.04,0,-0.4
2.08,-112.1142,39.2983,0.4,2006,5,24,20,19,48.93,0,-0.4
1.55,-110.5007,39.3333,0.4,2006,7,4,15,39,48.01,0,-0.4
2.94,-112.2113,38.5137,0.4,2007,5,2,16,45,24.58,0,-0.4
1.75,-112.2055,38.4983,0.4,2007,5,3,14,57,57.57,0,-0.4
1.64,-112.2092,38.5058,0.4,2007,5,3,15,4,49.86,0,-0.4
0.99,-112.775,38.0542,0.4,2007,6,30,14,20,41.98,0,-0.4
0.84,-111.3877,40.6193,0.4,2007,7,18,15,58,12.06,0,-0.4
2.04,-112.3203,37.5288,0.4,2007,7,26,4,53,7.27,0,-0.4
